Variable 1,Variable 2,Correlation Coefficient,p Value,Absolute Value of Correlation,Correlation Strength,Direction
BurnRCA,VegCovBuf,-0.26153955737193185,0.026474603287973686,0.26153955737193185,Weak,Negative
h2oWetland,MaxAir_C,0.261267857582771,0.026637498926962655,0.261267857582771,Weak,Positive
HiCascBuf,VegCovBuf,0.26101936989992786,0.026787218597198015,0.26101936989992786,Weak,Positive
h2oVegHt,SumPrecip,-0.2610052051393111,0.02679577457275517,0.2610052051393111,Weak,Negative
Forest21,SumPrecip,-0.25946267608087165,0.0277414298726244,0.25946267608087165,Weak,Negative
meanAirTemp,RoadsBuf,0.2592709607680587,0.027860905429533567,0.2592709607680587,Weak,Positive
h2oVegCov,LakesRCA,-0.25893880134318226,0.028068932094951204,0.25893880134318226,Weak,Negative
h2oVegCov,Shrub21,-0.2577065973247526,0.028852121454238766,0.2577065973247526,Weak,Negative
h2oKm2,h2oVegCov,0.257186957360602,0.029187879724371202,0.257186957360602,Weak,Positive
BurnBuf,WetPrecip,0.25691768714752705,0.029363154980861284,0.25691768714752705,Weak,Positive
BFI,SumPrecip,-0.256704703553852,0.02950241845793089,0.256704703553852,Weak,Negative
h2oVegHt,MeanMaxAir,-0.2560845229402704,0.02991110494015481,0.2560845229402704,Weak,Negative
MeanMaxAir,Shrub21,-0.2554461018939897,0.030336774403190603,0.2554461018939897,Weak,Negative
BurnBuf,Precip_mm,0.2530675886008348,0.03196774397862434,0.2530675886008348,Weak,Positive
MaxAir_C,VegHeight_,-0.25305971482557965,0.031973262843953076,0.25305971482557965,Weak,Negative
BurnBuf,h2oAgricul,-0.25266229652660094,0.032252859987603966,0.25266229652660094,Weak,Negative
BurnRCA,WetlandBuf,-0.2512328324969706,0.03327553769546743,0.2512328324969706,Weak,Negative
h2oKm2,MeanMaxAir,0.25084222752560614,0.03355966302124047,0.25084222752560614,Weak,Positive
BurnRCA,MaxAir_C,-0.2504529843534434,0.03384481451114607,0.2504529843534434,Weak,Negative
BurnRCA,h2oLakesPe,0.2498358699335456,0.03430105215001955,0.2498358699335456,Weak,Positive
Forest21,h2oRdDens,-0.2495839214130999,0.034488792102753685,0.2495839214130999,Weak,Negative
BurnRCA,h2oRdDens,-0.2475890153267071,0.03600583415027225,0.2475890153267071,Weak,Negative
Elev,h2oKm2,-0.2472643673963242,0.03625790455767586,0.2472643673963242,Weak,Negative
h2oRdDens,LakesRCA,0.24714032973275635,0.036354600376008905,0.24714032973275635,Weak,Positive
h2oRdDens,WetlandBuf,0.24407765107070653,0.038811228239282736,0.24407765107070653,Weak,Positive
BurnBuf,h2oDevelop,-0.24363418788462657,0.039178116676977126,0.24363418788462657,Weak,Negative
h2oBurnPer,thermalSensitivity,-0.24352306143016214,0.03927050455648251,0.24352306143016214,Weak,Negative
h2oHiCascP,MaxAir_C,0.24320308341993668,0.03953753794620818,0.24320308341993668,Weak,Positive
Forest21,Precip_mm,0.2431387055718476,0.03959144541842674,0.2431387055718476,Weak,Positive
h2oVegCov,LakesBuf,-0.24127171494923708,0.04118154049178768,0.24127171494923708,Weak,Negative
BurnBuf,h2oRdDens,-0.24081019924565447,0.04158266284709411,0.24081019924565447,Weak,Negative
AgBuf,BurnRCA,-0.23984637378317328,0.042430805108696124,0.23984637378317328,Weak,Negative
Precip_mm,SumPrecip,0.2393007060488605,0.04291729198062666,0.2393007060488605,Weak,Positive
h2oKm2,MaxAir_C,0.23720582718316666,0.04482801101186418,0.23720582718316666,Weak,Positive
LakesBuf,meanAirTemp,0.2357239907251579,0.04622153285587549,0.2357239907251579,Weak,Positive
h2oWetland,thermalSensitivity,0.23553679911380548,0.04640007976003213,0.23553679911380548,Weak,Positive
h2oLakesPe,VegCovBuf,-0.23550288899738206,0.04643248456324933,0.23550288899738206,Weak,Negative
h2oKm2,meanAirTemp,0.23543995262302603,0.04649267650852473,0.23543995262302603,Weak,Positive
h2oBurnPer,VegHeight_,0.2353095122981202,0.04661763341089453,0.2353095122981202,Weak,Positive
h2oLakesPe,WetlandsRC,0.2340282807895977,0.04785976441328099,0.2340282807895977,Weak,Positive
h2oDevelop,Solar,0.23369832629830228,0.04818401827629737,0.23369832629830228,Weak,Positive
meanStreamTemp,SumPrecip,0.23358767850740145,0.04829315783425914,0.23358767850740145,Weak,Positive
HiCascRCA,meanAirTemp,-0.23333359738962745,0.04854454459820645,0.23333359738962745,Weak,Negative
h2oAgricul,Shrub21,-0.23264598324968455,0.04923026308605838,0.23264598324968455,Weak,Negative
h2oBurnPer,HiCascBuf,0.23163990434473408,0.05024787894944405,0.23163990434473408,Weak,Positive
LakesRCA,SumPrecip,0.23025010279888983,0.051681925756853264,0.23025010279888983,Weak,Positive
Forest21,VegCovBuf,0.2300882109417348,0.05185112872499986,0.2300882109417348,Weak,Positive
h2oLakesPe,Solar,-0.2293656386069578,0.052611869698667935,0.2293656386069578,Weak,Negative
LakesBuf,VegCovBuf,-0.22921439892617862,0.05277224793505653,0.22921439892617862,Weak,Negative
h2oHiCascP,MeanAirJJA,-0.22698601139411392,0.055181967509316365,0.22698601139411392,Weak,Negative
SLOPE,WetlandsRC,-0.22617190646506427,0.056084393203486016,0.22617190646506427,Weak,Negative
Elev,Solar,-0.22182017014843763,0.06111425403769721,0.22182017014843763,Weak,Negative
h2oVegCov,MaxAir_C,-0.2212698923490186,0.06177552921309859,0.2212698923490186,Weak,Negative
MeanAirJJA,RoadsBuf,0.22059828725557162,0.06259044320338614,0.22059828725557162,Weak,Positive
MaxAir_C,meanStreamTemp,0.21972614891402542,0.06366163817839343,0.21972614891402542,Weak,Positive
h2oBurnPer,MeanAirJJA,-0.21959878172891312,0.06381930814885783,0.21959878172891312,Weak,Negative
h2oBurnPer,MeanMaxAir,-0.21813506706940589,0.06565401125986825,0.21813506706940589,Weak,Negative
h2oDevelop,Shrub21,-0.2173978130455162,0.06659410680532396,0.2173978130455162,Weak,Negative
LakesRCA,meanAirTemp,0.21718833744661417,0.0668631851765844,0.21718833744661417,Weak,Positive
meanAirTemp,Shrub21,-0.2171037718267216,0.06697206036270842,0.2171037718267216,Weak,Negative
h2oLakesPe,LakesRCA,0.21695608288389018,0.06716254695705404,0.21695608288389018,Weak,Positive
MeanMaxAir,RoadsBuf,0.2160364081694681,0.06835856531086226,0.2160364081694681,Weak,Positive
h2oWetland,SLOPE,-0.21571119459509466,0.06878557611796365,0.21571119459509466,Weak,Negative
BurnRCA,SumPrecip,0.2125269877361865,0.07308074909698403,0.2125269877361865,Weak,Positive
BurnRCA,DevelopBuf,-0.21163033798516692,0.0743282124471698,0.21163033798516692,Weak,Negative
thermalSensitivity,WetlandsRC,0.21157795842117938,0.07440160850947475,0.21157795842117938,Weak,Positive
MeanAirJJA,Shrub21,-0.21076756061957658,0.07554456552800382,0.21076756061957658,Weak,Negative
SumPrecip,WetPrecip,0.2106727568071795,0.07567918459500689,0.2106727568071795,Weak,Positive
h2oHiCascP,RoadsRCA,0.21011531010363382,0.0764746236418068,0.21011531010363382,Weak,Positive
h2oLakesPe,HiCascRCA,0.21004911984608568,0.07656951405725798,0.21004911984608568,Weak,Positive
MeanAirJJA,Solar,0.20815709494677326,0.07932186143605247,0.20815709494677326,Weak,Positive
LakesBuf,MeanMaxAir,0.20772980164810484,0.07995421446375461,0.20772980164810484,Weak,Positive
h2oWetland,HiCascBuf,-0.20741350177813786,0.0804248843190265,0.20741350177813786,Weak,Negative
Solar,WetPrecip,-0.2064201741205157,0.08191733387658418,0.2064201741205157,Weak,Negative
DevelopBuf,SLOPE,-0.206371065577884,0.08199168449786032,0.206371065577884,Weak,Negative
BFI,BurnBuf,0.2063384221434314,0.08204113646887423,0.2063384221434314,Weak,Positive
MeanMaxAir,thermalSensitivity,0.20534221151587537,0.08356172363544734,0.20534221151587537,Weak,Positive
AgricultRC,RoadsRCA,0.20471359171138254,0.08453266439306928,0.20471359171138254,Weak,Positive
Elev,h2oBurnPer,0.2036244357172459,0.08623604992772815,0.2036244357172459,Weak,Positive
h2oWetland,HiCascRCA,-0.20358113734459835,0.08630432290087953,0.20358113734459835,Weak,Negative
h2oBurnPer,LakesRCA,-0.20310531035732485,0.08705742509228509,0.20310531035732485,Weak,Negative
Solar,thermalSensitivity,0.20305213457716342,0.08714190897937946,0.20305213457716342,Weak,Positive
h2oBurnPer,meanAirTemp,-0.2019946137856481,0.08883554567120466,0.2019946137856481,Weak,Negative
SLOPE,WetlandBuf,-0.2013008257815321,0.08996068168866644,0.2013008257815321,Weak,Negative
Precip_mm,Solar,-0.20030878602812802,0.09158896116984128,0.20030878602812802,Weak,Negative
Solar,WetlandsRC,-0.20003414282959356,0.09204381682450702,0.20003414282959356,Weak,Negative
Forest21,h2oBurnPer,-0.19871942072592516,0.09424585929096052,0.19871942072592516,Weak,Negative
RoadsBuf,Shrub21,-0.19777118172878136,0.09585956487016167,0.19777118172878136,Weak,Negative
h2oAgricul,SLOPE,-0.19738769264006703,0.09651829620713626,0.19738769264006703,Weak,Negative
Precip_mm,Shrub21,0.19503839814067953,0.10063140056201991,0.19503839814067953,Weak,Positive
h2oBurnPer,LakesBuf,-0.1934105810305917,0.10356060930283628,0.1934105810305917,Weak,Negative
LakesBuf,SumPrecip,0.19315568085894877,0.10402523806233788,0.19315568085894877,Weak,Positive
SumPrecip,WetlandBuf,-0.19285169153237378,0.10458146247151978,0.19285169153237378,Weak,Negative
MaxAir_C,Shrub21,-0.19272244783703824,0.1048186449424704,0.19272244783703824,Weak,Negative
h2oKm2,SumPrecip,-0.19256591285461463,0.10510647042247223,0.19256591285461463,Weak,Negative
Forest21,LakesRCA,-0.19178211876115664,0.10655689536484969,0.19178211876115664,Weak,Negative
Solar,WetlandBuf,-0.1906669945497089,0.10864714384393359,0.1906669945497089,Weak,Negative
AgricultRC,BurnBuf,-0.18992553911718385,0.11005443973207019,0.18992553911718385,Very Weak,Negative
h2oWetland,Solar,0.18990671038773477,0.11009035958657343,0.18990671038773477,Very Weak,Positive
BFI,MaxAir_C,-0.18926764935917115,0.11131488787610966,0.18926764935917115,Very Weak,Negative
h2oHiCascP,WetlandsRC,-0.18880604537648882,0.11220590657151663,0.18880604537648882,Very Weak,Negative
BurnBuf,h2oKm2,0.1883815975329719,0.11303005079869077,0.1883815975329719,Very Weak,Positive
h2oHiCascP,VegHtBuf,0.18792120179654415,0.1139292625791466,0.18792120179654415,Very Weak,Positive
HiCascRCA,SLOPE,0.1878079802072153,0.11415124079988082,0.1878079802072153,Very Weak,Positive
BurnRCA,meanAirTemp,-0.18755404526171407,0.11465030783727692,0.18755404526171407,Very Weak,Negative
h2oAgricul,Solar,0.1859780421614981,0.11778532896821092,0.1859780421614981,Very Weak,Positive
AgBuf,SumPrecip,-0.18415848892080242,0.12148620772543484,0.18415848892080242,Very Weak,Negative
AgBuf,h2oBurnPer,-0.18382809429880148,0.12216765497438109,0.18382809429880148,Very Weak,Negative
Shrub21,WetPrecip,0.18332998271671525,0.12320054273819459,0.18332998271671525,Very Weak,Positive
Forest21,HiCascRCA,0.18292926473489032,0.12403630611469407,0.18292926473489032,Very Weak,Positive
h2oAgricul,h2oKm2,-0.18201677488593213,0.12595559721467464,0.18201677488593213,Very Weak,Negative
h2oDevelop,h2oKm2,-0.18183109991353652,0.12634889433626162,0.18183109991353652,Very Weak,Negative
h2oLakesPe,h2oVegCov,-0.1817759973110704,0.12646579262724278,0.1817759973110704,Very Weak,Negative
BFI,Shrub21,0.18016308283527335,0.12992415903439314,0.18016308283527335,Very Weak,Positive
h2oAgricul,RoadsRCA,0.1793064063857309,0.1317899860092151,0.1793064063857309,Very Weak,Positive
MaxAir_C,RoadsBuf,0.17909002348625508,0.132264462469466,0.17909002348625508,Very Weak,Positive
DevelopBuf,RoadsBuf,0.17907899096339674,0.13228868882049305,0.17907899096339674,Very Weak,Positive
h2oDevelop,SLOPE,-0.17579874223944245,0.13964200602425225,0.17579874223944245,Very Weak,Negative
h2oRdDens,meanStreamTemp,0.17453031168413743,0.14256650264462478,0.17453031168413743,Very Weak,Positive
LakesBuf,SLOPE,-0.17337801226816546,0.14526290672169395,0.17337801226816546,Very Weak,Negative
LakesRCA,MeanMaxAir,0.17153915347409618,0.1496447547859594,0.17153915347409618,Very Weak,Positive
BurnBuf,DevelopRCA,-0.17125009201144403,0.1503424431504401,0.17125009201144403,Very Weak,Negative
LakesRCA,VegCovBuf,-0.17109194878449788,0.15072516833949123,0.17109194878449788,Very Weak,Negative
BurnRCA,Solar,-0.16890303292675463,0.1560974703014013,0.16890303292675463,Very Weak,Negative
Forest21,LakesBuf,-0.16856993048194677,0.1569273152774464,0.16856993048194677,Very Weak,Negative
BurnRCA,MeanAirJJA,-0.1671318177889536,0.16054761180078492,0.1671318177889536,Very Weak,Negative
h2oLakesPe,h2oRdDens,0.1667501355082952,0.16151874497155028,0.1667501355082952,Very Weak,Positive
h2oKm2,Solar,-0.16644556590488077,0.16229678428121863,0.16644556590488077,Very Weak,Negative
SLOPE,Solar,0.165609093490343,0.16444782744640896,0.165609093490343,Very Weak,Positive
DevelopBuf,Shrub21,-0.16351456176632584,0.16992609319742868,0.16351456176632584,Very Weak,Negative
BurnRCA,VegHeight_,0.1620142111480526,0.1739317453031508,0.1620142111480526,Very Weak,Positive
BurnRCA,h2oWetland,-0.1618434309932077,0.1743920338107685,0.1618434309932077,Very Weak,Negative
BurnBuf,h2oLakesPe,0.16180919995063073,0.1744844006430768,0.16180919995063073,Very Weak,Positive
Shrub21,SumPrecip,0.16105504403238763,0.17652844195189843,0.16105504403238763,Very Weak,Positive
BurnRCA,WetlandsRC,-0.1594914202737137,0.1808219652335663,0.1594914202737137,Very Weak,Negative
h2oLakesPe,HiCascBuf,0.1581789945879156,0.18448388192127352,0.1581789945879156,Very Weak,Positive
h2oRdDens,WetlandsRC,0.15561717159965843,0.1917859986582724,0.15561717159965843,Very Weak,Positive
HiCascBuf,meanAirTemp,-0.15414420453896885,0.19607748516650125,0.15414420453896885,Very Weak,Negative
h2oDevelop,RoadsRCA,0.153927796456527,0.19671374383537277,0.153927796456527,Very Weak,Positive
h2oLakesPe,thermalSensitivity,-0.15386186555194964,0.19690788011752036,0.15386186555194964,Very Weak,Negative
h2oLakesPe,VegHtBuf,-0.15267417112976656,0.20042862910343873,0.15267417112976656,Very Weak,Negative
RoadsBuf,SumPrecip,-0.151444713830186,0.20412029740406923,0.151444713830186,Very Weak,Negative
h2oVegHt,Shrub21,-0.15070674092896427,0.20635930556363302,0.15070674092896427,Very Weak,Negative
BurnBuf,Solar,-0.14976197917559295,0.20925110446051054,0.14976197917559295,Very Weak,Negative
AgricultRC,Shrub21,-0.14900266693519873,0.21159599210709779,0.14900266693519873,Very Weak,Negative
h2oLakesPe,WetlandBuf,0.14578151591487784,0.22174997311988687,0.14578151591487784,Very Weak,Positive
RoadsBuf,SLOPE,-0.14477482549741336,0.224992257002103,0.14477482549741336,Very Weak,Negative
LakesBuf,RoadsRCA,0.14430322797369755,0.22652248859985358,0.14430322797369755,Very Weak,Positive
Forest21,meanAirTemp,-0.14331466927615089,0.22975368201975144,0.14331466927615089,Very Weak,Negative
DevelopRCA,Solar,0.14280960714098903,0.2314168451156413,0.14280960714098903,Very Weak,Positive
thermalSensitivity,WetlandBuf,0.140769789496879,0.23821899130645074,0.140769789496879,Very Weak,Positive
BurnBuf,LakesBuf,-0.14066211440569584,0.23858185066092563,0.14066211440569584,Very Weak,Negative
BurnBuf,SumPrecip,0.13809427538638486,0.24734856574531117,0.13809427538638486,Very Weak,Positive
BFI,RoadsRCA,-0.13707751321279874,0.25088006812215835,0.13707751321279874,Very Weak,Negative
h2oHiCascP,h2oWetland,-0.13560353804646857,0.25606047875179394,0.13560353804646857,Very Weak,Negative
Elev,SumPrecip,-0.13530291584541476,0.25712590262023904,0.13530291584541476,Very Weak,Negative
h2oBurnPer,h2oWetland,-0.13528012398800182,0.2572068009599471,0.13528012398800182,Very Weak,Negative
Forest21,HiCascBuf,0.1328229324467417,0.26602994089155363,0.1328229324467417,Very Weak,Positive
BurnBuf,h2oWetland,-0.13249108847063848,0.26723694265176934,0.13249108847063848,Very Weak,Negative
LakesRCA,RoadsBuf,-0.1322275682486457,0.26819805381644635,0.1322275682486457,Very Weak,Negative
BurnBuf,HiCascBuf,0.13185671150458306,0.26955457397074545,0.13185671150458306,Very Weak,Positive
HiCascBuf,SLOPE,0.13176509930755823,0.2698903813230866,0.13176509930755823,Very Weak,Positive
BurnRCA,RoadsRCA,-0.13152634104120386,0.27076687599555727,0.13152634104120386,Very Weak,Negative
h2oHiCascP,meanAirTemp,-0.1306223210087851,0.2741028648402435,0.1306223210087851,Very Weak,Negative
SLOPE,SumPrecip,0.1305001741369232,0.2745557055324457,0.1305001741369232,Very Weak,Positive
h2oLakesPe,LakesBuf,0.13005293928278233,0.2762180240397627,0.13005293928278233,Very Weak,Positive
HiCascRCA,Shrub21,0.1294391499984205,0.2785103155607924,0.1294391499984205,Very Weak,Positive
Solar,VegHeight_,-0.12847976069860567,0.28211860552953394,0.12847976069860567,Very Weak,Negative
BurnRCA,SLOPE,-0.12710209784915857,0.2873540544508846,0.12710209784915857,Very Weak,Negative
HiCascRCA,MaxAir_C,0.1267439922668615,0.2887253778372063,0.1267439922668615,Very Weak,Positive
HiCascRCA,MeanMaxAir,-0.12660804947930318,0.2892470829408458,0.12660804947930318,Very Weak,Negative
HiCascBuf,MaxAir_C,0.12635182599242206,0.29023207509169446,0.12635182599242206,Very Weak,Positive
h2oKm2,Precip_mm,-0.12573468664803608,0.2926135814848805,0.12573468664803608,Very Weak,Negative
h2oHiCascP,Shrub21,0.12559296996192965,0.29316226561063874,0.12559296996192965,Very Weak,Positive
DevelopRCA,Shrub21,-0.12494607864263216,0.2956754082119999,0.12494607864263216,Very Weak,Negative
RoadsBuf,VegCover,-0.12382766059670239,0.3000536057718941,0.12382766059670239,Very Weak,Negative
HiCascBuf,WetlandsRC,-0.12363429032536462,0.3008148454330408,0.12363429032536462,Very Weak,Negative
BurnBuf,RoadsRCA,-0.12359020043799926,0.30098858993032684,0.12359020043799926,Very Weak,Negative
h2oVegCov,SLOPE,0.1235002785835905,0.30134314659768013,0.1235002785835905,Very Weak,Positive
BurnBuf,MeanMaxAir,-0.12299944457633748,0.3033228825587806,0.12299944457633748,Very Weak,Negative
meanAirTemp,Solar,0.12245738101621502,0.30547510286648105,0.12245738101621502,Very Weak,Positive
meanStreamTemp,Shrub21,0.12227636129149001,0.30619602906259114,0.12227636129149001,Very Weak,Positive
DevelopBuf,Solar,0.12173428603535119,0.3083614826028862,0.12173428603535119,Very Weak,Positive
meanStreamTemp,Solar,0.11867145941242586,0.32078239939094066,0.11867145941242586,Very Weak,Positive
h2oBurnPer,RoadsBuf,-0.11822217791901041,0.32263093442866797,0.11822217791901041,Very Weak,Negative
h2oKm2,WetPrecip,-0.11775867890057144,0.3245450754150494,0.11775867890057144,Very Weak,Negative
BurnBuf,DevelopBuf,-0.11754656171464486,0.3254234766295623,0.11754656171464486,Very Weak,Negative
Shrub21,VegCover,-0.11746636756688769,0.3257559634008267,0.11746636756688769,Very Weak,Negative
BurnBuf,VegCover,-0.11598812696216353,0.3319234631452357,0.11598812696216353,Very Weak,Negative
BurnRCA,LakesBuf,-0.11346344002431581,0.34262642491827666,0.11346344002431581,Very Weak,Negative
Solar,SumPrecip,0.11326975351233284,0.3434563422860113,0.11326975351233284,Very Weak,Positive
HiCascBuf,Shrub21,0.11237463250780266,0.3473080994247091,0.11237463250780266,Very Weak,Positive
AgBuf,Shrub21,-0.11135540669673538,0.3517264862818834,0.11135540669673538,Very Weak,Negative
SumPrecip,WetlandsRC,-0.11052082784113329,0.35537023575850535,0.11052082784113329,Very Weak,Negative
h2oVegHt,SLOPE,0.1100067594103085,0.3576261986865399,0.1100067594103085,Very Weak,Positive
h2oLakesPe,RoadsBuf,-0.10976478620341759,0.35869113164490907,0.10976478620341759,Very Weak,Negative
BurnBuf,MaxAir_C,-0.10967688135127542,0.35907848669749387,0.10967688135127542,Very Weak,Negative
h2oVegCov,RoadsRCA,-0.10931633199045264,0.3606699466662673,0.10931633199045264,Very Weak,Negative
LakesBuf,RoadsBuf,-0.10879504867743962,0.3629785263662053,0.10879504867743962,Very Weak,Negative
h2oKm2,VegCover,-0.10868569026674613,0.3634639819954022,0.10868569026674613,Very Weak,Negative
SumPrecip,VegHeight_,-0.1084449734393952,0.36453395334705685,0.1084449734393952,Very Weak,Negative
Forest21,h2oLakesPe,-0.1081759485827919,0.36573202836104457,0.1081759485827919,Very Weak,Negative
h2oLakesPe,VegCover,-0.10789318402903317,0.36699388019313806,0.10789318402903317,Very Weak,Negative
RoadsBuf,VegHeight_,-0.10767622660582815,0.36796386192302366,0.10767622660582815,Very Weak,Negative
BurnRCA,Elev,0.1071936925722765,0.3701267867605127,0.1071936925722765,Very Weak,Positive
LakesRCA,Shrub21,-0.10643151208862567,0.3735589104487458,0.10643151208862567,Very Weak,Negative
h2oVegCov,HiCascRCA,0.10633632828727446,0.3739888756924763,0.10633632828727446,Very Weak,Positive
Forest21,MeanAirJJA,-0.10632292515779102,0.37404944449737765,0.10632292515779102,Very Weak,Negative
HiCascRCA,WetlandsRC,-0.10611176497125892,0.3750044617842403,0.10611176497125892,Very Weak,Negative
h2oRdDens,Solar,0.10487553935353233,0.38062508475153045,0.10487553935353233,Very Weak,Positive
BurnBuf,WetlandBuf,-0.10341464526798809,0.38733205042301644,0.10341464526798809,Very Weak,Negative
MeanMaxAir,Solar,0.10284822855478752,0.38995131975300024,0.10284822855478752,Very Weak,Positive
LakesBuf,Shrub21,-0.1024066652392304,0.39200052165203436,0.1024066652392304,Very Weak,Negative
h2oLakesPe,RoadsRCA,0.10211360000250996,0.39336409705371667,0.10211360000250996,Very Weak,Positive
BurnBuf,Forest21,-0.10054829616734864,0.4006946234828037,0.10054829616734864,Very Weak,Negative
h2oHiCascP,RoadsBuf,0.09998495382189464,0.40335235149278725,0.09998495382189464,Very Weak,Positive
AgBuf,BurnBuf,-0.09987234090393983,0.4038848711884495,0.09987234090393983,Very Weak,Negative
SumPrecip,VegCovBuf,0.09924572610032742,0.4068554948978824,0.09924572610032742,Very Weak,Positive
h2oKm2,RoadsBuf,0.09873428406462263,0.4092895383957704,0.09873428406462263,Very Weak,Positive
h2oHiCascP,VegCovBuf,0.09768793438004222,0.4142956289728854,0.09768793438004222,Very Weak,Positive
LakesRCA,SLOPE,-0.09720526429239054,0.4166167762479862,0.09720526429239054,Very Weak,Negative
meanStreamTemp,RoadsBuf,0.09634893080938853,0.42075327932539563,0.09634893080938853,Very Weak,Positive
AgricultRC,Solar,0.09466904136947916,0.4289361226234003,0.09466904136947916,Very Weak,Positive
Solar,VegCovBuf,0.09383895402132485,0.4330127107224908,0.09383895402132485,Very Weak,Positive
Solar,VegCover,-0.0924880590534086,0.4396936663348374,0.0924880590534086,Very Weak,Negative
RoadsRCA,Solar,-0.0921693819933522,0.44127810345160823,0.0921693819933522,Very Weak,Negative
h2oHiCascP,h2oRdDens,0.09054104694640376,0.4494238229355003,0.09054104694640376,Very Weak,Positive
h2oLakesPe,h2oVegHt,-0.09035648989146773,0.45035230051759356,0.09035648989146773,Very Weak,Negative
h2oBurnPer,h2oVegCov,-0.08814207582773198,0.4615752086913192,0.08814207582773198,Very Weak,Negative
DevelopRCA,h2oLakesPe,0.08770441224455695,0.46381128317990106,0.08770441224455695,Very Weak,Positive
h2oVegHt,Solar,-0.0870739773331011,0.4670425971832848,0.0870739773331011,Very Weak,Negative
h2oVegCov,HiCascBuf,0.0868247122956836,0.46832357452616336,0.0868247122956836,Very Weak,Positive
BurnRCA,h2oVegHt,0.086299277082466,0.4710300186581775,0.086299277082466,Very Weak,Positive
BurnBuf,SLOPE,-0.08600747824039755,0.4725366725839355,0.08600747824039755,Very Weak,Negative
BurnBuf,MeanAirJJA,-0.0845392008929779,0.4801571263630082,0.0845392008929779,Very Weak,Negative
AgBuf,RoadsBuf,0.08453028804489415,0.4802035838817962,0.08453028804489415,Very Weak,Positive
HiCascBuf,MeanMaxAir,-0.08421742285546147,0.4818358871296118,0.08421742285546147,Very Weak,Negative
h2oKm2,WetlandsRC,0.08386095950320209,0.4836992466229266,0.08386095950320209,Very Weak,Positive
h2oRdDens,SLOPE,-0.08359937607463826,0.4850690650156033,0.08359937607463826,Very Weak,Negative
BurnRCA,thermalSensitivity,-0.08320302557454584,0.48714852070941683,0.08320302557454584,Very Weak,Negative
SumPrecip,VegCover,-0.08255198704796315,0.49057439586657536,0.08255198704796315,Very Weak,Negative
Solar,VegHtBuf,0.08129492931924542,0.4972249337191652,0.08129492931924542,Very Weak,Positive
h2oKm2,h2oRdDens,-0.07982892653263403,0.5050398492126786,0.07982892653263403,Very Weak,Negative
LakesRCA,Solar,0.07941535623567926,0.5072558883770466,0.07941535623567926,Very Weak,Positive
HiCascBuf,RoadsRCA,-0.07635575983112614,0.523804041154428,0.07635575983112614,Very Weak,Negative
AgricultRC,h2oLakesPe,0.07496145399118184,0.531434098790613,0.07496145399118184,Very Weak,Positive
BurnRCA,h2oVegCov,0.07440842941052782,0.5344756088490867,0.07440842941052782,Very Weak,Positive
h2oHiCascP,WetlandBuf,-0.07410937619197028,0.5361239066787913,0.07410937619197028,Very Weak,Negative
MaxAir_C,thermalSensitivity,-0.07225331320705052,0.5464096578772697,0.07225331320705052,Very Weak,Negative
LakesRCA,RoadsRCA,0.07077823141592639,0.5546517557075452,0.07077823141592639,Very Weak,Positive
h2oBurnPer,MaxAir_C,-0.06758868771485994,0.5726741735494474,0.06758868771485994,Very Weak,Negative
h2oHiCascP,SLOPE,-0.06667046707637782,0.577912502344414,0.06667046707637782,Very Weak,Negative
HiCascRCA,RoadsBuf,-0.06655916076516047,0.5785489861713227,0.06655916076516047,Very Weak,Negative
AgBuf,h2oLakesPe,0.06613807584291567,0.5809597911615136,0.06613807584291567,Very Weak,Positive
h2oLakesPe,SumPrecip,-0.06493451989432365,0.587875654182477,0.06493451989432365,Very Weak,Negative
h2oBurnPer,WetlandBuf,-0.06488492775690329,0.5881614173472662,0.06488492775690329,Very Weak,Negative
h2oBurnPer,h2oVegHt,0.06427719303286493,0.59166843711558,0.06427719303286493,Very Weak,Positive
BurnBuf,meanAirTemp,-0.0635563182506896,0.5958404874042986,0.0635563182506896,Very Weak,Negative
BurnBuf,Elev,0.06184403819057402,0.6058024748610629,0.06184403819057402,Very Weak,Positive
h2oKm2,h2oWetland,0.06169434553970914,0.6066768384352883,0.06169434553970914,Very Weak,Positive
Shrub21,WetlandsRC,0.060652977056756596,0.6127747375208608,0.060652977056756596,Very Weak,Positive
h2oWetland,SumPrecip,-0.06048931989779961,0.6137354622072753,0.06048931989779961,Very Weak,Negative
RoadsRCA,Shrub21,-0.05926581158970925,0.6209383647876954,0.05926581158970925,Very Weak,Negative
h2oRdDens,HiCascRCA,-0.059171862458000796,0.6214929360222778,0.059171862458000796,Very Weak,Negative
Forest21,Solar,0.05773514204800642,0.6299997961922295,0.05773514204800642,Very Weak,Positive
h2oBurnPer,VegCover,0.05770675758390726,0.6301683507896574,0.05770675758390726,Very Weak,Positive
h2oDevelop,RoadsBuf,-0.0575533232627494,0.6310798110921827,0.0575533232627494,Very Weak,Negative
h2oWetland,Shrub21,-0.057022447724969054,0.6342376518459913,0.057022447724969054,Very Weak,Negative
h2oVegHt,MaxAir_C,-0.0558802962145959,0.641053653606789,0.0558802962145959,Very Weak,Negative
BurnRCA,VegHtBuf,0.055636300102201344,0.6425136173391044,0.055636300102201344,Very Weak,Positive
LakesRCA,MaxAir_C,-0.05356954509562876,0.654933930083226,0.05356954509562876,Very Weak,Negative
AgricultRC,RoadsBuf,-0.05325138722111043,0.6568543570024445,0.05325138722111043,Very Weak,Negative
